empty_arena,constant_1,avg_td_dif,avg_sub_att_dif,sig_str_dif,age_dif,reach_dif,height_dif,sub_dif,ko_dif,total_title_bout_dif,total_round_dif,loss_dif,win_dif,longest_win_streak_dif,win_streak_dif,lose_streak_dif,td_landed_dif,rev_bout,pass_bout,sub_attempts_bout,td_pct_bout,td_attempted_bout,td_landed_bout,tot_str_attempted_bout,tot_str_landed_bout,sig_str_pct_bout,sig_str_attempted_bout,sig_str_landed_bout,kd_bout,age,weight_lbs,reach_cms,height_cms,stance,wins,win_by_tko_doctor_stoppage,win_by_submission,win_by_ko/tko,win_by_decision_unanimous,win_by_decision_split,win_by_decision_majority,total_title_bouts,total_rounds_fought,losses,longest_win_streak,avg_td_pct,avg_td_landed,avg_sub_att,avg_sig_str_pct,avg_sig_str_landed,draw,current_win_streak,current_lose_streak,ev,odds,fighter,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,winner,title_bout,weight_class,gender,no_of_rounds,win_dum,tter_rank,win_prob,status
1.0,1.0,1.09,0.1,2.18,-6.0,-7.62,-0.0,-0.0,-8.0,-14.0,-53.0,-5.0,-12.0,-9.0,6.0,-2.0,1.0899999999999999,0.0,1.0,0.0,0.5,2.0,1.0,376.0,258.0,0.62,309.0,194.0,1.0,27.0,135.0,170.18,170.18,Switch,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,0.0,6.0,0.53,1.73,0.2,0.46,5.65,0.0,6.0,0.0,46.51162791,-215.0,Petr Yan,KO/TKO,Punches,5.0,3:24,1404.0,Red,True,Bantamweight,MALE,3.0,1,,68.25396825396825,favorite
1.0,1.0,0.71,0.6,1.44,-0.0,2.54,-2.54,-1.0,-2.0,-0.0,-14.0,-3.0,-2.0,-0.0,2.0,-0.0,0.71,0.0,1.0,1.0,1.0,1.0,1.0,15.0,13.0,0.85,7.0,6.0,0.0,26.0,115.0,167.64,160.02,Orthodox,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,3.0,0.5,2.02,1.6,0.44,4.84,0.0,3.0,0.0,12.98701299,-770.0,Amanda Ribas,SUB,Armbar,1.0,2:21,141.0,Red,False,Women's Flyweight,FEMALE,3.0,1,,88.50574712643679,favorite
1.0,1.0,0.39,-0.0,4.88,3.0,-2.54,-5.08,-0.0,3.0,1.0,18.0,3.0,5.0,3.0,2.0,-0.0,0.39,0.0,0.0,0.0,0.0,1.0,0.0,95.0,44.0,0.44,92.0,41.0,0.0,30.0,205.0,190.5,187.96,Orthodox,5.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,18.0,3.0,3.0,0.22,0.39,0.0,0.45,4.88,0.0,2.0,0.0,62.89308176,-159.0,Volkan Oezdemir,KO/TKO,Punch,2.0,0:49,349.0,Blue,False,Light Heavyweight,MALE,3.0,0,,61.38996138996139,favorite
1.0,1.0,2.5,-1.2,-4.25,-0.0,-2.54,-5.08,1.0,1.0,-0.0,11.0,1.0,3.0,1.0,-0.0,-0.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,0.33,6.0,2.0,0.0,31.0,145.0,182.88,177.8,Southpaw,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,16.0,2.0,3.0,0.34,3.39,1.5,0.47,1.6,0.0,0.0,1.0,46.51162791,-215.0,Makwan Amirkhani,SUB,Anaconda Choke,1.0,3:15,195.0,Red,False,Featherweight,MALE,3.0,1,,68.25396825396825,favorite
1.0,1.0,-1.64,1.0,2.47,-3.0,10.16,5.08,-0.0,-0.0,-1.0,-9.0,-2.0,-2.0,-1.0,-1.0,1.0,-1.6400000000000001,1.0,0.0,0.0,0.0,1.0,0.0,168.0,69.0,0.38,160.0,62.0,1.0,31.0,135.0,185.42,177.8,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.66,1.0,1.0,0.49,5.6,0.0,0.0,1.0,61.72839506,-162.0,Martin Day,KO/TKO,Punch,3.0,2:38,758.0,Blue,False,Bantamweight,MALE,3.0,0,,61.832061068702295,favorite
1.0,1.0,0.53,-0.5,0.07,1.0,-10.16,-10.16,-1.0,4.0,-0.0,41.0,8.0,7.0,-0.0,-0.0,-1.0,0.53,0.0,1.0,0.0,0.0,0.0,0.0,126.0,91.0,0.68,105.0,72.0,1.0,34.0,205.0,193.04,190.5,Orthodox,10.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,49.0,10.0,3.0,0.23,0.53,0.0,0.42,4.26,0.0,0.0,1.0,180.0,180.0,Gian Villante,SUB,Arm Triangle,3.0,3:44,824.0,Blue,False,Heavyweight,MALE,3.0,0,,35.714285714285715,underdog
1.0,1.0,1.0,1.0,-1.62,-7.0,2.54,10.16,1.0,-0.0,-0.0,15.0,2.0,3.0,1.0,-0.0,-0.0,1.0,0.0,6.0,3.0,0.42,7.0,3.0,79.0,40.0,0.49,77.0,38.0,0.0,26.0,155.0,190.5,190.5,Southpaw,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,16.0,2.0,2.0,0.29,1.0,1.0,0.46,3.32,0.0,1.0,0.0,40.0,-250.0,Luis Pena,SUB,Guillotine Choke,3.0,2:53,773.0,Blue,False,Lightweight,MALE,3.0,0,,71.42857142857143,favorite
1.0,1.0,-0.0,-0.0,-1.44,6.0,7.62,-0.0,-0.0,-0.0,-0.0,-3.0,-0.0,-1.0,-1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,0.35,17.0,6.0,0.0,34.0,240.0,198.12,187.96,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.41,2.73,0.0,0.0,1.0,89.28571429,-112.0,Philipe Lins,KO/TKO,Punches,1.0,2:41,161.0,Blue,False,Heavyweight,MALE,3.0,0,,52.83018867924528,favorite
1.0,1.0,-0.83,-0.8,1.09,2.0,10.16,2.54,-0.0,-0.0,-0.0,-9.0,4.0,-0.0,-0.0,1.0,4.0,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,230.0,116.0,0.48,219.0,106.0,1.0,28.0,145.0,198.12,187.96,Orthodox,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.43,5.27,0.0,1.0,0.0,21.97802198,-455.0,Sean Woodson,SUB,D'Arce Choke,3.0,2:44,764.0,Blue,False,Catch Weight,MALE,3.0,0,,81.98198198198197,favorite
1.0,1.0,0.82,-0.0,3.13,3.0,7.62,-0.0,-0.0,1.0,-0.0,5.0,-1.0,1.0,1.0,-0.0,-1.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,0.85,21.0,18.0,1.0,30.0,170.0,185.42,177.8,Southpaw,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.5,0.82,0.0,0.36,3.13,0.0,0.0,1.0,35.97122302,-278.0,Takashi Sato,KO/TKO,Punches,1.0,0:48,48.0,Red,False,Welterweight,MALE,3.0,1,,73.54497354497354,favorite
1.0,1.0,-0.0,-0.0,-0.0,-15.0,160.02,2.54,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,2.0,1.0,0.18,11.0,2.0,67.0,43.0,0.56,55.0,31.0,0.0,20.0,115.0,160.02,160.02,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285714,-175.0,Kay Hansen,SUB,Armbar,3.0,2:26,746.0,Red,False,Women's Strawweight,FEMALE,3.0,1,,63.63636363636363,favorite
1.0,1.0,-0.14,0.8,-0.29,10.0,-5.08,-15.24,7.0,3.0,-0.0,64.0,12.0,16.0,5.0,-2.0,1.0,-0.14000000000000012,0.0,1.0,1.0,0.0,0.0,0.0,10.0,9.0,0.66,3.0,2.0,0.0,36.0,155.0,180.34,172.72,Southpaw,20.0,0.0,9.0,3.0,6.0,2.0,0.0,0.0,76.0,13.0,7.0,0.41,1.69,1.9,0.4,2.83,0.0,0.0,1.0,200.0,200.0,Jim Miller,SUB,Armbar,1.0,2:25,145.0,Red,False,Catch Weight,MALE,3.0,1,,33.33333333333333,underdog
1.0,1.0,-0.43,-1.9,0.34,-0.0,-5.08,2.54,-0.0,-1.0,-0.0,-0.0,-0.0,-2.0,-2.0,-0.0,-0.0,-0.43,0.0,0.0,0.0,1.0,1.0,1.0,137.0,74.0,0.54,137.0,74.0,1.0,30.0,185.0,187.96,185.42,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.16,0.33,0.0,0.43,3.53,0.0,0.0,3.0,100.0,100.0,Marc-Andre Barriault,KO/TKO,Punches,2.0,4:50,590.0,Red,False,Middleweight,MALE,3.0,1,,50.0,underdog
